Node Operator,Total Network Penetration,direct,Stealth Pool,Ledger Live,Lido,Swell,Fireblocks,Enzyme,Coinbase,Rocketpool,StakeHound,Stader - Permissionless,Stader - Permissioned,StakeWise,Octant
0xcdd00e221bfa655a63ebeea07629e326bab72f12 - Stader,1.1054988618889216e-05,0,0,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0
0x3e1e0f284c49090a4f95e2444f77687a06e7ba80,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x9f2db4814f5f55eb69df5882381a16116021d08c,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xf3d688e983859e63b7a9aff400a8e1293665e2f5,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x7d786624574a18ce4d247bd5eac4473d293bad24,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x2c6c5809a257ea74a2df6d20aee6119196d4bea0,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x88ec8ac484c14d0b642ea262ef58af058e7939b6,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x2aa1d70c80547168b7524bcb727d9b1cd6c66f1d,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xa9eafa53d7b4758143d2a5b9b8563d4be2209d1f,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xc21969c23a264412c791494ef8721e4a0429da81,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x4c685d099b6e181a2774d210ce690d98eebf114c,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x291c2cce0abb87ca6fbe1207b3fc86eb0954e911,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x1423bf7991cdaa711a5de056f755905cd50e44d6,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xc519a740538028f5f70a8806a28b33d06ef21397,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x8d5fd77c79ae6b61002801097bbdde3300420576,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xc302b5e8b75737b2bd21d2af8cef7c671c8d1b3d,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x7340ee4be119c6a5c8759b7a7db84446f92b5de1,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x3c6eb8d399d161db1a15e6068e4433a1d8e2113d,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x68a565e499be475809f91440a564af0280a4de43,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x4f1b58019a0231ba066e52ca76fb211d240774ab,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x547e07494ec48dd3a968964e70696d79cca9eb97,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xbcf9fdc20b736819456e925557532ddaf43ff19a,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x75708f2056b6ceff3e1d67185bf552fd023b6baa,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xee2283cd0c239f67997d7a9768d5649a9131c270,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x533ac1ce767a6203dd6fc9031dbafd84fced3e40,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x22abf9e968b2134cc1e2ae572267e0a916e82484,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x0ea4f14f39206a4d7d47dee3d3ebba18694430a9,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x4fca54bb44abe853ff884e8b5de032a2cc058184,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xe8e270d5712ed9d5c0536b21e97e8fd8fd2a6d01,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x97dde154813d7b53368efc61b9b8666d37ea19e1,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x7f733e416d96a6cc3d0907dd35b7c3c7ff23ddcf,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xf94860ea703aebc00de50f3433dd2f9306c72ca3,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x7ba728c1d84c2313f319d267fd9847f2cea8d758,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x3ff000c35e217a8721e3ae6fdfaa8b612680d8c3,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xe9af10a1f22acfc61430a1684dce1e901818351b,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xb738dd20c36f065cccd0a7142f266c88388665fc,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x65be4e14d486a2b4b005748a148ccd2c0a0558b9,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x70d64deacd6fdf6ee944475d4b21a910d7ce56f2,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x69c83a1c429f93a6c13d18b5807ad418dce2647d,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x2ebd90ef667449466769276f6d9aa5e1f604422a,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x7bbf6c58849eeaedb2498dc721985cb8e93426ec,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0xe55c977b68c58db4082fe042c75e857534570dab,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x5d9d226cd75c4beeec14f5b572d8bfb0ed2046fc,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x09323ff03add65b4eace2d2469edceab0caa6d42,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x9a1a5bfb7d6e6025686cca945f8104f41786d28d,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x1dcfe32c51cdc4b518c1839dd94de9764cd7a3ed,1.1054988618889216e-05,0,0,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0,0,0
0x98d3368f02d6c4fbde87734da0e4219fb28ade39,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x6109be321e35104f52aff32f47ad597ca361e4fd,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x4d7ac13fe3d295c14828a389f6a3807c97d45056,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x7e675ea9e9940bc93a673157d719e72c6f8e5b98,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xc4530f313dcbe0811ec6b3362c575ffeeb176eef,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x4a248f12e9d622efc59fed735e5e3131014a4a3d,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x143272c817e0fee45e7ed963fd2d954371ad2e34,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x89d492909b28d2a51d26d03a735bb180c0dc9f43,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x1a7d31cec3edf4b1ca4641fd66fb54f2ff5e64ca,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x0e7617be8f86c1ebfa9f260b3cab96f5cbcac0f9,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x40da247b6ef9468999e81b39f45e75422f255361,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xebfb1b6dfe064fc69531c124609bd24ab24ec30b,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xec61590ed7fed9c698449555dbbd2f8dce08e29f,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x07748556c61770b489959ed7aef68bc4a852f294,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xe11f01ff4c05861ef333b8199e801d7996a84a2a,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x3468135a20c1bfb45d319e9861f11a91609e2c6f,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x80336be68f449e4d45834881158ab4a7e45ccd5a,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x24d2706c07ff041db342bd72343fd79e06129802,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xf9f8878e9486f584f1bec7f88b3b27f16c328c7f,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xe94cf0dc1b935967144848d3352502f810df7ac3,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xfdb924d2580783a925a62a051ba1fd2293d93ef6,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x9ab595091a172bb176e361874704af2e9a35e966,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xeb79840b2535e73cb6221375ee1ee90c3ea2b649,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x2e91993c3e91c32c313981b8f3bede396a5a792d,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x2f6c780d9d70536c636a19cf33bb620413c4b51b,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xa0ee709e98d68dcebc1da8c7abf02f6fcdad7ea6 - Stader,9.949489757000296e-06,0,0,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0
0x505b0ee7ea91557a586122e2cfac44a9675b10eb,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x390e190ce00a0c7a44f41506cfd7b3574489c10d,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x530b98a12d7c96aa37848bbeeb389e2f1694bf70,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x92fc6485d08b180c1f7efb2a9185d9835735d839,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x2155c75f337fed1f254ff8eb3ac09273bce60406,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0x27dc67ce834803a02f4acf407db3e653cf22c279,9.949489757000296e-06,0,0,0,0,0,0,0,0,9.949489757000296e-06,0,0,0,0,0
0xe7cfc70317fc4b122947358dc6a1cb2c5afc1cd8,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x8b6f6f3b12bdbf40e028ec77cb1e54a4767fe5a9,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x1a71f50f1fd58129c03d05fc71c00db6d8f6b4a6,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x7bed6ddfc0279a19c24ad025c37b7933418ee766,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xd5c9e0646d418afd292d834e415ea499f4fea3c2,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x6db046670f4317dcd6c943cbc8a0d013fab1c1fa,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xc76cb60a0b18d1f499ebd718e179da906f89003b,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x4cda7590079425792310d57fcf841a99e3f008ee,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x2c41f34816de4e2acbc4ceb7fdd670ff38194d4d,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xcfb3d52ae0be3b8a4ec8886378175b17e5641370,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xec23bbb0af94d876bbdcbdba7e229a36318683d8,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x32cc1748c350dbdf6d26de6d3a1d8b31d3e5690e,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x0cb961e87f6b7a7ce4e92d1ba653e2a2b5b1d9b9,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xfe39c07004e6a76a3bd9e803edba6ba3facdcafb,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x3270f82cdf044e886988d90e23708f0ff53b5c47,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x9cab29b34d1606e869535fea17a6be56eb4e8006,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x47dd29157df6f0aa7673fae7ec8271187d2125c9,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x46f543ab65da23b4c61436db11e05676acf6b206,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x80e8b888c07e33571955309d222af510226d0dfc,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x72a41a736f02eb86ec227a7b9fd880ac1d1303f9,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x53829cc7e582f5d9945d1bfc0e2ed8b271202592,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x1fd97ba5e81b3159470200fd32b8d0859faceb74,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x275688662db2ec43746cf4c72777a2b83e3687ea,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x1a2211added399a5bfbf09442dc59a0a4cb296ae,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x0ef62c616398bb4ecff34491058f3e3e8ee10133,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x04c40561e7c1ed5db34881bb4cdbd933593d814b,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x1becb874e13fffd196e76fae037e28a04c3f163f,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x0c76e3ca6836aab4956f346ea7ab3ac023b3e186,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x6bc9ecd6351806a3c1effefd716ddb74fb150348,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x79835863ca5c2354e0ae39e9b10298bc6f0f9c41,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x56a974ccb886c53e51432f1cb4cc08e83979f30f,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x638afb7227afe6226e4f958c17f4de38976bcd6f,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x00cfb7c42392243eb6849f8c3f06b93ad2d56b03,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xab916e9d7113558ee6d54084b2541098e2cbe5b8,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xa166e10e3966367235eb074aed1cc09e546a2092,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x925eeca41b964f04ac942a68ea1cd09cd9a76f8c,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x84d7b086b06c173377f36b22385405f63140adce,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xda45506be510611fc0be2a0479735df1220ae5df,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x08a6e85de1e2e86c5024d499a54655e8bbaeb4f2,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x512af6714d4e9b4d9b60284616ea1399506d901d,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x50224da81a32b03db7e49929308d3b43fc991cfc,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x13104c8e4653f841258e4e12a70c9c0784c7ffa4,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xbfc76c6edc762d0e2885371a8ff32776df05b8e1,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xdb18011d572e7d45f563fb607756702fbd5e3020,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xd7965a78baa280e86ebfbebc9f00a2c1705a3532,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x388bc148d8543effadcb21a77ad4f6a254920646,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x996d774e75955df92d56a0aa148aaf76bd3c7adf,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x8f24dd657ded19910088e93295d680d9854b31a4,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x75224e800636c3d397badb4d7c544e09addd8e0a,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x0ebad37391687e49e5acaf0b51cff6366c4fcbc9,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xa926dba5af1260705024969551e19771a4a86931,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x385648181c3d621ce01b23cdb74143c69b8f7dd6,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x3788248a4d34597e8ada35c0d79242fd494fbf63,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xe0878ff2a29a0460c6d66c35f4215e7e5ad49388,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x32852e4ddc2a493734425777c083bded5b4a86ad,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0x649d25ecebec58d72cb00e93cc79b95e0946ae00,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xe146801d03cf106a400fabb91e925ceb5b0c4e89,8.843990895111374e-06,0,0,0,0,0,0,0,0,8.843990895111374e-06,0,0,0,0,0
0xf31a7505f5270dcbec60d316eb70c5abe018b67d,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x340d5d24b1e8a34f26060e23157ed378a4f95308,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x904dfd2a97409b302709c1e5ec25bc6f95797b13,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x328cdf6fcc267f7779220b01569876f8f4a48b06,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xf3a7448d3f73c6ed2666616b94153dcbc050fa85,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xf26564021f3a4b87a1408162e000ae44121e1014,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x7bcb1a7a96c40b8bc5cd2a26055e52072d9a71fa - Stader,7.738492033222452e-06,0,0,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0
0x51fde788ae57c7bec330c796d6b40c294645e31a,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x0560cddd74f83000d81e9bfdfbc0c80efaaa2c2e,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x5ffb147b829a69178e8c8a2f0faeaf4722adda60,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xc65482703ebc29106d82c3ee7209a47a2b482712,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x6803744c25c08e7bd24188263a8c7d18e0c5ffca,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x0f66bac4f971bfbd7c931de75a8ed753bb52dc2f,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x26c6313979cf572242d7246752694fd72d75660a,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xae084ef2d0e94ad74b16f2e3a97196701dccb133,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x9db6022f234ce2e00362aaf0fedee7de718f9ce3,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x71cbe3ebafb267ee39c07a67839a796952f3fbf7,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x26a9a7b53f12c43040947ce80c35fcea47414e57,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x53e2a8a194001a01dfac988e13f23b08cfde7797,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x0826e027a9e535122f5a4c93618a2aa9e618ed42,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x80b29ed78b08edfd29a69009994401f9bfd27285,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xfce320d4c85e35a605b86d53bbd41cf736a82a00,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xb695c738f3011b82fd4911f05e5caf6b406eb56e,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x3049d07c0c2bb3c43a57fddabac0402a686eda74,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xd36a4161bc4fa2b297c0802cc457733de3fd7d4d - Stader,7.738492033222452e-06,0,0,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0
0x902d0d2097260820ea725565b95389a7c9182c97,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x1cc9ff8fbe1ed15c3e276fe6d209ab5cc0b450f4,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x83bab0dc6bc806351eef400a24faad7efa195b22,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x091bf7886bcbc28fb63b952edaa5e61ced03e097,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x4859bee79aabb156e511d987519753258df590cc,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xc559d746b38ca5c3a763d9155e7baaa37fca0aa2,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xb0a2ef3c7680a265692252d212440c7326ea1792,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x9796dad6a55c9501f83b0dc41676bdc6d001dd32,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xf7f47455158847fd4511b40d51685f9d18f13e8e,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x4e1070d678a92e0186abf6ea7df0f49dde6d0786,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x515f7de509932bdc5ddc4c61e4324b18822c21da,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x0af3e038371c807edd7d3572131ee54e705559e1,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x06996fe7bb17b944d57d687055c6f090168a9fc2,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xb6aa1a76d21fffaf677a89960c620d897672bda3,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x3812167b6eb7b1928f03372c5876d5ccaef112da,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x47179647c0671567625fecd7f6c107a74cf3e788,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0x4cde259c77fce161d6a6250371a3e56f83887db0,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xa9c8550bffd4bd11c09da4a807dcc3b87c71b481,7.738492033222452e-06,0,0,0,0,0,0,0,0,7.738492033222452e-06,0,0,0,0,0
0xb50aa6e2dba66bcfac4699c9d4c6eb2bc099fd89,6.63299317133353e-06,0,0,0,0,0,0,0,0,6.63299317133353e-06,0,0,0,0,0
