Network Penetration,manifold,no_mev_boost,agnostic,aestus,bloxroute_regulated,edennetwork,ultra_sound_money,bloxroute_maxprofit,flashbots
0-9,0.002833615696086064,4.652986863520232,0.5556744315489094,1.6826453555403558,10.263853508798082,0.07037081929599136,10.934091021677679,9.782416854343563,7.2431582614836705
10-19,0.0936454973966316,14.985755954207324,10.09231457043844,2.454660659441803,15.667114679723596,0.08276163886318742,21.820446470341576,18.8401464216475,9.481672626458469
20-29,0.10044925327633347,5.878920588030456,11.820819246905515,2.925658407033953,16.79711644449441,0.6384909425921225,13.124175883777312,15.932900741588332,32.78146849230157
30-39,0.034064559468739236,2.8717985271156596,0.0,5.471759936410456,23.491710888335085,0.015591349487845414,20.242158426225398,26.16328770321796,9.20962860973885
40-49,0,0,0,0,0,0,0,0,0
50-59,0,0,0,0,0,0,0,0,0
60-69,0,0,0,0,0,0,0,0,0
70-79,0,0,0,0,0,0,0,0,0
80-89,0,0,0,0,0,0,0,0,0
90-99,0,0,0,0,0,0,0,0,0
