Network Penetration,Prysm,Nimbus,Lighthouse,Teku,Lodestar,Unknown
2.068474483354931,78.81737822814114,0.027775205999444493,11.48907487805273,9.665771687806684,0,0
3.9054099677650473,22.868754490254894,40.793168778199885,0.06020753501262152,23.7778691965326,0,12.5
1.1143510723999497,0.10420284821118443,14.379993053143453,85.49843695727684,0.01736714136853074,0,0
1.1143510723999497,38.892745574453315,5.067684831655675,37.5216938562999,18.517875737591112,0,0
1.2100642582005252,3.9747989024653103,0.9289338316276194,7.670899946875759,87.42536731903131,0,0
1.1143510723999497,32.83582089552239,16.366443643849717,6.759306913707326,44.03842854692057,0,0
1.2031559723802276,1.8205783529956996,5.74680869914876,14.22248120659456,78.21013174126098,0,0
1.1145739203296365,0.1048767697954903,99.81646565285789,0,0.07865757734661773,0,0
1.181873995095117,0.01172882946281961,99.71914552927618,0.2456679823353629,0.02345765892563922,0,0
1.1143510723999497,100.0,0,0,0,0,0
1.1143510723999497,100.0,0,0,0,0,0
1.1142396484351063,100.0,0,0,0,0,0
1.1403128562084874,0.017373175816539264,0.2866574009728978,0,99.69596942321056,0,0
2.640970814720888,0.03756766678862129,0.9721416426870495,0.2730322865713599,98.71725840395297,0,0
1.050505140544618,15.511892450879008,52.55084453636677,31.109962082040678,0.8273009307135472,0,0
1.9908119798590043,44.86708523144622,0.03004356316659156,0.26006155035011463,54.84280965503708,0,0
2.0334873583940687,88.2608329439625,0.14843174825892308,1.9103536018767444,9.680381705901844,0,0
0.9961302457009849,0.035236081747709654,99.57716701902748,0.15856236786469344,0.2290345313601128,0,0
0.9960188217361413,100.0,0,0,0,0,0
1.0360200251149616,0.0355998576005696,0,99.39480242079031,0.5695977216091136,0,0
1.099197413181232,0.04826546003016591,26.220211161387635,0.012066365007541477,73.71945701357467,0,0
0.9934560705447406,20.042872454448016,0,0.03572704537334762,79.92140050017863,0,0
1.0596419056617858,5.336041358936485,10.561299852289514,84.09342688330872,0.009231905465288036,0,0
0.9888876879861567,50.24145257871354,0,0,49.75854742128646,0,0
1.033680121853248,88.84462151394422,0,0,11.155378486055776,0,0
1.051396532263366,3.2529532777671735,79.11535987218369,0.30607339540342027,17.325613454645712,0,0
0.9586917935135654,53.25767951477206,2.563099197808648,43.94443357464293,0.23478771277636468,0,0
